COURSENAME,COMBINED_TITLE,RESOURCE_TYPE,SUBJECTS
swallowing across the lifespan,the laryngoscope,journal,periodical otolaryngology laryngoscope malady nez riodiques pe
swallowing across the lifespan,archives of internal medicine,journal,medicine periodical internal archive
swallowing across the lifespan,international journal of language & communication disorders,journal,periodical disorder communication speech journal communicative language international
economics for decision making,the sydney morning herald,journal,newspaper sydney n w herald australia new wale morning australian south
contemporary issues in accounting theory (online),critical perspectives on accounting,journal,periodical accounting ethic accountant social professional critical perspective aspect
"borderlands identity, culture and belonging",post-colonial studies: the key concepts,book,race relation ethnic attitude concept key post dictionary colonial study colony
managing rooms division operations,cornell hotel and restaurant administration quarterly,journal,periodical hotel restaurant cornell quarterly management riodiques administration gestion pe
organisational stakeholder management,organisational behaviour: core concepts and applications,book,behavior industrial organizational concept psychology core behaviour culture corporate application organisational
organisational stakeholder management,human resource management international digest,journal,periodical digest resource personnel management human international
learning through literacy and numeracy,the conversation,journal,newspaper relation university economic conversation international college organization
"personal development, health and physical education curriculum and pedagogy","asia-pacific journal of health, sport and physical education",journal,periodical physical journal pacific health training sport australia education asia
"supporting young peoples health and safety perspectives on drugs, alcohol and sexual",annual review of public health,journal,periodical united state health annual review public
"supporting young peoples health and safety perspectives on drugs, alcohol and sexual",medical journal of australia,journal,medicine periodical journal australia medical
health and indigenous australian peoples,the medical journal of australia,journal,medicine periodical journal australia medical
framing modernity,painter of modern life and other essays,book,century modern france painter essay paris history criticism art 19th life art
framing modernity,artforum international,journal,periodical revistas artforum arte international art
australian criminal law i,introducing the law,book,introduce law australia
corporate governance,corporate governance,journal,governance corporate
exercise physiology for specific populations,the american journal of cardiology,journal,periodical american journal disease system cardiovascular cardiology
the positive leader,the international journal of human resource management,journal,periodical journal resource personnel formation management periodiques human international welt
health and indigenous australian peoples,contemporary nurse,journal,periodical nurse contemporary nurse australia care nursing
organisational stakeholder management,industrial and commercial training,journal,industrial periodical commercial personnel training occupational management employee
framing modernity,african arts,journal,africain angeles african periodical los california riodiques study art center university pe art
children and the law,family process,journal,psychotherapy periodical psychology process family
australian criminal law i,university of new south wales law journal,journal,periodical australie journal droit new australia riodiques wale law university south pe
"the role of the midwife as leader, mentor and educator",health & social care in the community,journal,periodical service health work welfare social human public care community
australian politics,"government, politics, power and policy in australia",book,science planning party politics australia social power policy political government
conveyancers professional practice,law society journal,journal,society law journal
conveyancers professional practice,proctor,journal,proctor
the learning environment,voices from the middle,journal,periodical literature secondary teach united state middle voice language art study
competitive strategy,european business review,journal,enterprise periodical business economic management review european integration international europe
social work direct practice i,"psychology, health & medicine",journal,medicine periodical health gesundheitspsychologie psychology clinical
financial planning,financial planning in australia,book,planning australia finance financial investment personal
postgraduate preparation,journal of medical internet research,journal,medicine science journal internet library research information medical
development across the lifespan,computers in human behavior,journal,behavior science processing human psychology data computer behavioral
principles and practice of clinical accountability,ethics and law for the health professions,book,law ethic health legislation australia profession law medical
leading professional learning communities,leadership: theory and practice,book,study case theory leadership practice
selfmanagement and lifestyle medicine,patient education and counseling,journal,periodical health education counsel patient
marine systems science and management,annual review of marine science,journal,periodical science science annual marine review
communicating at university,bmc medical informatics and decision making,journal,medicine make decision informatics clinical medical bmc
selfmanagement and lifestyle medicine,british journal of nutrition,journal,periodical nutrition voeding british journal
caring for country,nourishing terrains: australian aboriginal views of landscape and wilderness,book,australian aborigine attitude area land tenure view terrain landscape australia nourish aboriginal australian wilderness
social policy and law for social work,history australia,journal,australia history
appraising evidence,australian family physician,journal,medicine periodical physician australia practice general australian family physician
