COURSENAME,COMBINED_TITLE,RESOURCE_TYPE,SUBJECTS
swallowing across the lifespan,the laryngoscope,journal,otolaryngology periodicals otolaryngology nez maladies pe riodiques the laryngoscope
swallowing across the lifespan,archives of internal medicine,journal,internal medicine periodicals internal medicine medicine periodicals archives of internal medicine
swallowing across the lifespan,international journal of language & communication disorders,journal,speech disorders periodicals language disorders periodicals communicative disorders periodicals international journal of language communication disorders
contemporary issues in accounting theory (online),university of auckland business review. autumn,journal,media technology education human computer interaction university of auckland business review autumn
economics for decision making,the sydney morning herald,journal,sydney n s w newspapers australia new south wales sydney australian newspapers new south wales sydney the sydney morning herald
contemporary issues in accounting theory (online),critical perspectives on accounting,journal,accounting social aspects periodicals accountants professional ethics periodicals accountants professional ethics critical perspectives on accounting
"borderlands identity, culture and belonging",diogenes,journal,philosophy periodicals humanities periodicals philosophy diogenes
"borderlands identity, culture and belonging",post-colonial studies: the key concepts,book,colonies dictionaries ethnic attitudes dictionaries race relations dictionaries post colonial studies the key concepts
managing rooms division operations,cornell hotel and restaurant administration quarterly,journal,hotel management periodicals restaurant management periodicals restaurant gestion pe riodiques cornell hotel and restaurant administration quarterly
organisational stakeholder management,organisational behaviour: core concepts and applications,book,psychology industrial organizational behavior corporate culture organisational behaviour core concepts and applications
organisational stakeholder management,human resource management international digest,journal,personnel management periodicals personnel management personnel management human resource management international digest
learning through literacy and numeracy,the conversation,journal,international organization newspapers universities and colleges newspapers international economic relations newspapers the conversation
"exercise and neurological, neuromuscular and immunological health",developmental medicine and child neurology,journal,neurology periodicals pediatric neurology periodicals cerebral palsy periodicals developmental medicine and child neurology
"personal development, health and physical education curriculum and pedagogy","asia-pacific journal of health, sport and physical education",journal,physical education and training periodicals physical education and training australia periodicals health education periodicals asia pacific journal of health sport and physical education
"supporting young peoples health and safety perspectives on drugs, alcohol and sexual",annual review of public health,journal,public health united states periodicals public health periodicals united states annual review of public health
"supporting young peoples health and safety perspectives on drugs, alcohol and sexual",medical journal of australia,journal,medicine periodicals medicine medicine australia periodicals medical journal of australia
health and indigenous australian peoples,the medical journal of australia,journal,medicine periodicals medicine medicine australia periodicals the medical journal of australia
framing modernity,painter of modern life and other essays,book,art art criticism history 19th century france paris arts modern 19th century painter of modern life and other essays
framing modernity,artforum international,journal,art periodicals art arte revistas artforum international
working in culturally and linguistically diverse contexts and in rural and remote settings,the cat story: telling a story from a single standard picture,book,frank anne 1929 1945 diaries holocaust jewish 1939 1945 netherlands amsterdam personal narratives frank anne 1929 1945 the cat story telling a story from a single standard picture
australian criminal law i,introducing the law,book,law australia law australia introducing the law
corporate governance,corporate governance,journal,corporate governance
exercise physiology for specific populations,the american journal of cardiology,journal,cardiovascular system diseases periodicals cardiology cardiology periodicals the american journal of cardiology
the positive leader,the international journal of human resource management,journal,personnel management periodicals personnel formation periodiques welt the international journal of human resource management
health and indigenous australian peoples,contemporary nurse,journal,nurses nursing care periodicals australia contemporary nurse
organisational stakeholder management,industrial and commercial training,journal,employees training of periodicals personnel management periodicals occupational training periodicals industrial and commercial training
framing modernity,african arts,journal,art african periodicals art africain pe riodiques university of california los angeles african studies center periodicals african arts
children and the law,family process,journal,family psychotherapy periodicals family periodicals family psychology family process
australian criminal law i,university of new south wales law journal,journal,law australia periodicals new south wales droit australie pe riodiques university of new south wales law journal
writing genre,writing fantasy & science fiction,book,fantasy fiction authorship fantasy fiction technique science fiction technique writing fantasy science fiction
"the role of the midwife as leader, mentor and educator",health & social care in the community,journal,public welfare periodicals human services periodicals social work health social care in the community
"the role of the midwife as leader, mentor and educator",contemporary theories of learning : learning theorists ... in their own words,book,learning philosophy adult learning theoriee n contemporary theories of learning learning theorists in their own words
food and beverage management,"principles of food, beverage, and labor cost controls",book,food service cost control food service cost control food service principles of food beverage and labor cost controls
australian politics,"government, politics, power and policy in australia",book,power social sciences political parties australia political planning australia government politics power and policy in australia
conveyancers professional practice,law society journal,journal,law society journal
conveyancers professional practice,proctor,journal,proctor
the learning environment,voices from the middle,journal,language arts secondary periodicals literature study and teaching secondary periodicals united states voices from the middle
introduction to social welfare,new community quarterly,journal,community development australia periodicals social structure social problems australia periodicals new community quarterly
introduction to social welfare,"australias welfare wars: the players, the politics and the ideologies",book,public welfare australia welfare state social policy australias welfare wars the players the politics and the ideologies
competitive strategy,european business review,journal,international business enterprises management periodicals europe economic integration management periodicals international economic integration management periodicals european business review
social work direct practice i,"psychology, health & medicine",journal,clinical health psychology periodicals medicine and psychology periodicals gesundheitspsychologie psychology health medicine
financial planning,financial planning in australia,book,investments australia finance personal australia investments financial planning in australia
postgraduate preparation,journal of medical internet research,journal,internet in medicine library information science internet journal of medical internet research
