COURSENAME,COMBINED_TITLE,RESOURCE_TYPE,SUBJECTS
swallowing across the lifespan,the laryngoscope,journal,laryngoscope periodical nez otolaryngology riodiques pe malady
swallowing across the lifespan,archives of internal medicine,journal,archive periodical medicine internal
swallowing across the lifespan,international journal of language & communication disorders,journal,disorder periodical language speech communication communicative international journal
contemporary issues in accounting theory (online),university of auckland business review. autumn,journal,human university interaction autumn education technology review business auckland computer medium
economics for decision making,the sydney morning herald,journal,w morning new newspaper wale herald australia south sydney n australian
contemporary issues in accounting theory (online),critical perspectives on accounting,journal,aspect ethic social account periodical accountant critical perspective professional
"borderlands identity, culture and belonging",diogenes,journal,humanity diogenes philosophy periodical
"borderlands identity, culture and belonging",post-colonial studies: the key concepts,book,dictionaries dictionary post colonial race attitude ethnic colony key concept relation study
managing rooms division operations,cornell hotel and restaurant administration quarterly,journal,hotel quarterly restaurant periodical management cornell administration gestion riodiques pe
organisational stakeholder management,organisational behaviour: core concepts and applications,book,organisational organizational industrial core application culture corporate psychology behavior concept behaviour
organisational stakeholder management,human resource management international digest,journal,human periodical management personnel digest resource international
learning through literacy and numeracy,the conversation,journal,university conversation economic colleges newspaper organization relation international
"exercise and neurological, neuromuscular and immunological health",developmental medicine and child neurology,journal,periodical pediatric medicine cerebral child developmental palsy neurology
"personal development, health and physical education curriculum and pedagogy","asia-pacific journal of health, sport and physical education",journal,asia periodical education australia training pacific health physical sport journal
"supporting young peoples health and safety perspectives on drugs, alcohol and sexual",annual review of public health,journal,annual periodical state public review health united
"supporting young peoples health and safety perspectives on drugs, alcohol and sexual",medical journal of australia,journal,periodical medicine australia medical journal
health and indigenous australian peoples,the medical journal of australia,journal,periodical medicine australia medical journal
framing modernity,painter of modern life and other essays,book,century france essay history life 19th paris painter modern art criticism
framing modernity,artforum international,journal,periodical artforum revistas art arte international
working in culturally and linguistically diverse contexts and in rural and remote settings,the cat story: telling a story from a single standard picture,book,netherlands amsterdam story tell personal picture anne holocaust 1929 jewish 1939 narrative single 1945 standard frank cat diary
australian criminal law i,introducing the law,book,introduce law australia
corporate governance,corporate governance,journal,governance corporate
exercise physiology for specific populations,the american journal of cardiology,journal,diseases american periodical cardiovascular system cardiology journal
the positive leader,the international journal of human resource management,journal,human periodical management welt periodiques personnel formation resource international journal
