COURSENAME,COMBINED_TITLE,RESOURCE_TYPE,SUBJECTS
sustainable urban communities,1 1 saunders 2010,article,nurse etc 1 pharmaceutical manual 2010 instruction preparation administration saunders handbooks drug
introduction to the old testament,1 2 chronicles,book,commentary chronicle bible 1 2
sustainable urban communities,1 2 scientific american 2011,article,1 2011 american technology science scientific 2
introduction to the old testament,1 samuel,book,interpretation etc criticism bible samuel 1st 1 bibel
sustainable urban communities,10 3 brown 2012,article,politics 2012 1989 riodiques brown 3 world pe politique mondiale 10
middle east politics and security,10 conceptual sins in analyzing middle east politics,article,analyze politics newspaper middle sin digital 1321 monash east 862x conceptual humanity 10 university
mental health practice,10 principles of leading change management,article,australian management principle lead change administration sport 10
rethinking strategic value of markets and consumers,10 ways to create shareholder value,article,create news opinion way shareholder commentary value interest general 10
storytelling,101 healing stories using metaphors in therapy,book,storytelling metaphor therapy healing therapeutic 101 use psychotherapy narrative story
making of the modern world,14 18 understanding the great war,book,understanding century war 14 psychological 20th 1914 bereavement france 1918 history world europe great 18 aspect
money market dealing,16 070mr former hanlong managing director sentenced to more than 8 years jail for insider trading,article,trading sentence insider manage former 16 hanlong director 8 070mr year jail
japanese language acquisition and use,1993 conference of industry economics 5 6 july 1993 the university of sydney,book,industry economics sydney 6 5 australia 1993 conference congress congresses july university
conservation medicine,1997 wildlife symposium,book,1997 captive symposium wild animal wildlife congress medicine health veterinary
sustainable urban water systems,1st national hydropolis conference 2006 burswood convention centre perth western australia,book,2006 hydropolis burswood national australia conference western 1st centre convention perth
work and well being,20 years of workplace bullying research a review of the antecedents and consequences of bullying in the workplace,article,20 workplace bully research remedy legal review library antecedent consequence year check
it professional practice,2001 corporate profile,book,service profile industrial australia property corporate patent 2001 information
global perspectives in music,2004 sims conference at the victorian college of the arts university of melbourne,journal,learn socioeconomic office victorian effectiveness teach sims 2004 status conference art melbourne college university
governing inequality foundations of social welfare provision,2013 14 budget priority statement recommendations for the 2013 14 federal budget,book,australian budget welfare service 14 margin sector rate 2013 priority nongovernment recommendation tax statement social council federal
energy management,2013 ashrae handbook fundamentals,book,etc manual refrigerate handbook air ventilation 2013 refrigeration condition machinery ashrae fundamental
intraoperative assisting and nursing care,2014 2015 acorn standards for perioperative nursing including nursing roles guidelines position statements,book,2014 2015 acorn nursing standard position australia role perioperative statement room operating include guideline
authorship and writing,20th century literary criticism a reader,book,century criticism 20th reader literary history literature
ideas and ideals in politics,21st century dissent anarchism anti globalization and environmentalism,book,century anarchism 21st anti globalization dissenter environmentalism dissent
health and society,21st century sociology a reference handbook,book,sociology century science 21st handbook anthropology general social reference
advanced molecular biology modern concepts and applications,21st century tv dramas exploring the new golden age,book,series century television program tv criticism 21st drama age perform history explore new golden art reference
mathematics and numeracy in the early years,24th annual conference of the mathematics education research group of australasia 30 june 4 july 2001 university of sydney n s w,journal,4 research university w education niue poto june 30 sydney annual 24th conference melbourne group 2001 australasia mathematics n july
writing from the edge,26 bars a collaboration,book,bar 26 collaboration
mathematics and numeracy in the early years,26th annual conference of the mathematics education research group 6 10 july 2003 deakin university geelong,journal,mathematics geelong education deakin 10 26th 6 2003 vws vwwg conference group july annual engagement research university
inclusive education,2e twice exceptional newsletter,journal,2e newsletter twice exceptional
sustainable urban water systems,2nd iwa leading edge conference on sustainability,book,environmental management lead resource iwa 2nd aspect edge sustainability water conference congress supply congresses development sustainable
sustainable urban communities,3 1 davis 2004,article,davis woman feminism 2004 3 center 1
sustainable urban communities,3 2 girardet 2000,article,migrant louis painting buvelot 3 2000 appreciation girardet 2
great books past and present 2,3 post colonialism post modernism and the rehabilitation of post colonial history,article,post rehabilitation colonial literary 3 colonialism modernism history theory literature 1208
strategic research in international markets,3 ways data dashboards can mislead you,article,management way performance mislead 3 transport dashboard public plan data
manager as a performance coach,360 degree assessment time for reinvention,article,remoteness 360 degree human time assessment capacity indigenous reinvention
digital forensics,39th audio engineering society international conference 2010 audio forensics practices and challenges,book,engineering task management forensics rfid society international 2010 practice fit audio conference 39th challenge technology emergency
organisational behaviour and management,4 ways to communicate effectively,article,effectively way usage study fraction 4 teach computer communicate simulation
leadership in health care,40 years of storming a historical review of tuckmans model of small group development,article,storm development tuckmans 40 review historical group small year model
advanced crop and pasture science,4r plant nutrition a manual for improving the management of plant nutrition,book,etc 4r fertility management manual nutrition handbook fertilizer improving soil plant handbooks
sustainable urban communities,5 3 barley 2010,article,engineering genetic 2010 law act 5 australia 3 barley 2000 legislation technology tasmania gene
leadership in social work and human services,50 current and emerging women leaders in asia pacific,article,pacific info service database asia ex woman leader emerge interest inc 50 yahoo general current
influencing on the inside,52 hacks for innovation oriented organizations,book,hack innovation organization 52 orient rhetoric design
sustainable urban communities,7 1 pucher and buehler 2010,article,age esthetic human 2010 middle buehler pucher 1 7
strategic management,7 3,journal,3 7
creating and managing effective learning environments,7 steps for developing a proactive schoolwide discipline plan a guide for principals and leadership teams,book,program schoolwide proactive guide develop improvement state school team step united principal leadership 7 unite plan discipline
sustainable urban communities,8 1 victoria department of environment land water and planning 2018,article,department environment victoria 2018 land use 8 water planning community 1 plan development
developing strategic intelligence,8 tough questions to ask about your companys strategy,article,management business computer 8 question ask dynamic strategy company tough
aboriginal and torres strait islander perspectives across the curriculum,8 ways aboriginal pedagogy from western nsw raet regional aboriginal education team western nsw dec version details trove,book,regional raet way education pedagogy detail team trove 8 version western aboriginal dec nsw
wireless and interactive networks,802 11 wireless lan fundamentals,book,wireless 11 802 lan fundamental
wireless and interactive networks,802 11 wireless network site surveying and installation,book,measure guide wireless installation study examination telecommunication site security engineer certification 11 802 survey lan network
wireless and interactive networks,802 11 wireless networks the definitive guide,book,guide wireless communication area local definitive computer 11 802 lan network system
terrorism in a globalised world,9 11 effect comparative counter terrorism,book,9 prevention state terrorism 11 september comparative counter attack united terrorist 2001 canada effect
spies saboteurs and secret agents,9 11 the failure of strategic intelligence,article,queer foucault 9 strategic butler 11 michel intelligence judith literature failure
health policy and governance,9 the changing role of the state in healthcare systems,article,modern healthcare education 9 change state role overdiagnosis system
environmental technology for sustainability,9th world renewable energy congress 19 25 august florence italy,book,louis access 1889 9th 25 florence rougier open 1982 italy auguste energy renewable world 19 congress august paul
professional practice and organisational consulting,a 30 country multilevel test of cultural convergence or divergence of three managerial skillsets,article,skillsets multilevel cultural divergence managerial convergence country library three 30 test check
complexities of health and illness across the lifespan 1,a balancing act maintaining accurate fluid balance charting,article,medical maintain fluid balance practice nursing analysis assessment act accurate charting care outcome body fluids
managing wetlands and water,a baseline biological monitoring programme for the urban wetlands of the swan coastal plain western australia seasonal variation in the macroinvertebrate,book,coastal area seasonal variation animal urban baseline macroinvertebrate programme quality wetland environmental perth water biological metropolitan swan monitoring australia western plain
introduction to science for health professions,a beginners guide to evidence based practice in health and social care professions,book,evidence britain guide work practice care great profession base medicine social health beginner
integrated project,a beginners guide to scientific method,book,guide methodology scientific method science beginner research
environmental monitoring,a benchmarking method for visitor management by national park agencies,article,agency management benchmarking national visitor method park
written communication,a better pencil readers writers and the digital revolution,book,innovation literacy communication instrument reader language well history art write revolution material technological pencil digital writer discipline
operating systems and systems programming,a book on c programming in c,book,de program book langage computer language programmation programmeertaal c
academic skills for science students,a boring test,article,profile soil pressure shear measurement strength test boring
researching legal remedies,a brief guide to brief writing demystifying the memorandum of law,book,guide skill state legal memorandum law brief united write demystify reference
macroeconomics b,a brief history of economics artful approaches to the dismal science,book,economics business economist artful economic approach history brief dismal science
international political economy,a brief history of neoliberalism,book,neoliberalism economic brief policy history liberty
it professional practice,a brief review of peter b checkland s contribution to systemic thinking,article,innovation management economy business circular contribution b thinking review brief peter checkland technology systemic
cognitive processes,a brief tour of human consciousness from impostor poodles to purple numbers,book,consciousness brain human purple cognitive poodles brief tour impostor number neuroscience
advanced criminal law,a brighter tomorrow raise the age of criminal responsibility,article,right australian age tomorrow brighter australia child responsibility raise aboriginal criminal convention youth
society culture and ecology in asia,a burning problem,article,lidcombe problem waste poison burn plant treatment pollution
detection and diagnostics,a case study of forest decline in western canada and the adjacent united states,article,decline regional adjacent study economic forest state history policy case united western planning canada
christology,a celtic christology the incarnation according to john scottus eriugena,book,doctrine 1500 celtic eriugena christology middle erigena 877 scottus approximately age johannes christ accord 600 history john 810 jesus scotus incarnation
introduction to the early childhood education field,a centenary history 1908 2008,book,centenary free victoria multicultural education 1908 union 2008 history kindergarten
spies saboteurs and secret agents,a century of spies intelligence in the twentieth century,book,espionage century politics service spy 20th twentieth intelligence history world
learning from country,a change in the weather,book,change weather reader fiction supermarket primary
indigenous knowledge,a change in the weather climate and culture in australia,book,australian australians being human climate attitude change weather australia culture aboriginal effect
advanced criminal law,a change of normative position determining the contours of culpability in criminal law,article,causation rule culpability regulation law change position normative criminal contour determine
contemporary fiction writing,a change of world,book,change world
counselling children and adolescents,a child 3 5 years growth and development as a social being learning through play safety,book,growth toddler 5 safety 3 child learning play social year development
art therapy with children and adolescents,a childs use of transitional objects in art therapy to cope with divorce,article,therapy music transitional cope use child divorce art object
introduction to film studies,a cinema without walls movies and culture after vietnam,book,cinema century 20th popular state wall motion vietnam history culture united picture without social movie aspect
conservation medicine,a clash of paradigms community and research based conservation,book,citizen resource natural conservation wildlife participation australia clash paradigm base congress community research
australian indigenous education,a clash of worldviews experiences from teaching aboriginal students,article,mental curriculum education multicultural student experience teach clash psychology aboriginal worldviews early health childhood
psychiatry psychology and the law,a clinical introduction to lacanian psychoanalysis,book,1981 lacanian clinical jacques introduction 1901 psychoanalysis lacan
the developing mind,a cognitive cost of the need to achieve,article,naltrexone effectiveness cognitive cost achieve cbt need
aquatic biosecurity,a colour atlas of salmonid diseases,book,morphology parasite salmonidae atlas animal anatomy histology salmonid colour disease
coming into community,a common prayer,book,common caricature prayer cartoon australia
teaching religion in schools,a common search the history and forms of religious education in catholic schools,book,common form search education christian school australia catholic church child history religious
aesthetics of food and wine,a companion to aesthetics,book,sthetik aesthetic companion encyclopedias
contemporary debates in visual culture,a companion to contemporary art since 1945,book,century modern since 21st 20th history companion art contemporary 1945
metaphors of mind,a companion to descartes,book,rene 1596 companion 1650 descartes
biotechnology justice and the law,a companion to genethics,book,genethics therapy moral genetics ethical companion bioethics aspect gene
metaphors of mind,a companion to kant,book,1724 alemanha 1804 moderna companion filosofia kant immanuel
international aid and development in practice,a companion to medical anthropology anthropology anthropology,book,medical anthropology companion medicine physical social
advanced molecular biology modern concepts and applications,a companion to nordic cinema,book,cinema criticism motion perform history picture companion art nordic reference scandinavia
space place and travel,a companion to political geography edited by john agnew katharyne mitchell and gerard toal,book,political john mitchell toal agnew geography gerard katharyne politieke geografia companion edit politica geografie
borderlands identity culture and belonging,a companion to postcolonial studies,book,political post study postcolonialism colonialism companion postcolonial science
advanced molecular biology modern concepts and applications,a companion to reality television,book,television program criticism perform history companion art reality
short story writing,a companion to the american short story,book,criticism kurzgeschichte short history companion american story
nature based tourism,a comparative analysis of protected area planning and management frameworks,article,australian agency norway ne protect management area analysis comparative framework u planning sport drug
festivals and events,a comparative study of caucasian and asian visitors to a cultural expo in an asian setting,article,caucasian cultural study setting visitor expo comparative library asian check
comparative governance and public administration,a comparative study of zambia and mozambique africanization professionalization and bureaucracy in the african postcolonial state,article,professionalization mozambique zambia bureaucracy study state comparative library africanization postcolonial african check
wildlife biology,a comparision of species counts and density estimates derived from area searches line transects and point counts in the jarrah forest of south western australia,article,south search point jarrah area transects line derive forest estimate australia specie count comparision western density
music drama and writing,a comparison between the use of songs and improvisation in music therapy with adults living with acquired and chronic illness,article,improvisation live age adult illness comparison human song music middle therapy acquire use chronic
introduction to the old testament,a comparison of j and p unpublished,book,antiquity unpublished e comparison p 10 promontory gippsland wilson vic j sj55
oceanography and marine pollution,a comparison of nutrient limited productivity in macroalgae from a caribbean barrier reef and from a mangrove ecosystem,article,ponn queensland comparison barrier nutrient macroalgae limited reef melbourne caribbean productivity mangrove northeast ecosystem
introduction to sustainable development oua,a comparison of the limits to growth with 30 years of reality,article,growth cultural comparison relationship study cross ethnicity 30 limit reality year marketing
ecology,a comparison of towed nets purse seine and light aggregation devices for sampling larvae and pelagic juveniles of coral reef fishes,article,australian aggregation sample papua coral juvenile comparison pp guinea fish pelagic larvae light purse net science tow device institute new reef marine seine
theory and method,a compendium of neuropsychological tests administration norms and commentary,book,norm etc manuels guide manual test neuropsychological commentary compendium value neuropsychologiques handbooks reference administration
principles and processes of interventions,a component analysis of cognitive behavioral treatment for depression,article,physiology etc neuropsychology mental component behavioral manual process handbook depression cognitive behavior analysis treatment
news and power,a comprehensive grammar of the english language,book,language english grammar englisch 1950 comprehensive
environmental policy and law,a conceptual analysis of the application of tradable permits to biodiversity conservation,article,right comparison regulation law conservation analysis overseas australia property permit application tradable rule conceptual biodiversity
ecological applications,a conceptual model of land conversion processes predictions and evidence from a microlandscape experiment with grassland insects,journal,grassland evidence insect process land experiment conversion prediction conceptual microlandscape model
managing strategic risk and projects,a conceptualisation of relationship quality in construction procurement,article,construction relation procurement service relationship conceptualisation quality marketing customer
religion politics and society in sixteenth century england,a concise history of christianity,book,religious history church christianity concise aspect
imperialism and colonialism in modern history,a concise history of india,book,inde histoire history concise india
mixed methods and quantitative research,a concise introduction to mixed methods research,book,concise mixed science methodology introduction method social research
economics in society,a conservative case for the minimum wage,article,case conservative wage minimum
magic science and spirituality,a consuming tradition kava drinking in fiji,article,kava fiji therapeutic skin use consume tradition side beverage drinking disease drug effect
managing strategic risk and projects,a contextual understanding of projects the importance of space and time,article,understanding contextual time country structure foreign text project importance competence space
transforming the real,a contribution to the critique of political economy,book,political marxian economics contribution economy critique
australian literature and film,a conversation with illustrator shaun tan,article,conversation educational research education tan illustrator shaun science aspect
criminal law b,a cr r australian criminal reports,journal,australian procedure law report cr australia r case criminal
introduction to the old testament,a critical and exegetical commentary on the books of chronicles,book,book critical commentary chronicle bible exegetical
trauma counselling,a critical evaluation of the complex ptsd literature implications for dsm 5,article,issue implication critical regulation law legal dsm complex 5 crime literature rule ptsd evaluation
innovation creativity and enterprise in design and technology,a critical examination of food technology innovation and teacher education a technacy genre theory perspective,book,innovation perspective educational teacher education critical examination technacy food theory technology genre method
religion and popular culture,a critical introduction to the study of religion,book,religion critical study teach introduction
work and well being,a critical review of executive coaching research a decade of progress and whats to come,article,decade whats progress research nutrition usage critical prevention executive come review coach health aspect
environmental monitoring,a critique of ecosystem health concepts and indexes,article,index rivpacs concept critique predictive macroinvertebrate health model ecosystem
democracy in doubt,a critique of the elitist theory of democracy,article,elitist politics government deliberative democracy critique theory
the developing mind,a critique of the iq achievement discrepancy model for identifying specific learning disabilities,article,learn iq specific discrepancy source energy identify renewable achievement solar critique disability tax technology incentive taxation model
textiles and society,a cultural history of fashion in the twentieth century from the catwalk to the sidewalk,book,catwalk century cultural sidewalk 20th fashion designer twentieth history design
modern japan,a cultural history of postwar japan 1945 1980,book,life influence cultural japan popular history custom culture civilization 1980 1945 american social postwar
alternative and mainstream communities,a cup of tears a diary of the warsaw ghetto,book,relation ethnic personal cup tear 1893 narrative ghetto holocaust poland 1945 diary warsaw 1939 1943 jewish lewin abraham
travel and tourism in society,a dark tourism spectrum towards a typology of death and macabre related tourist sites attractions and exhibitions,article,macabre tourism relate attraction dark tourist site death typology towards spectrum exhibition
writing as a profession,a decent proposal how to sell your book to an australian publisher or literary agent,book,australian decent proposal author book sell literary australia agent publisher authorship marketing
sex and gender matters,a democracy of sexuality linkages and strategies for sexual rights participation and development,book,right development identity linkages human sex sexuality participation gender democracy strategy sexual social aspect
