COURSENAME,COMBINED_TITLE,RESOURCE_TYPE,SUBJECTS
sustainable urban communities,1 1 saunders 2010,article,drugs handbooks manuals etc drugs administration periodicals pharmaceutical preparations nurses instruction 1 1 saunders 2010
introduction to the old testament,1 2 chronicles,book,bible chronicles commentaries bible chronicles 1 2 chronicles
sustainable urban communities,1 2 scientific american 2011,article,science periodicals technology periodicals science 1 2 scientific american 2011
introduction to the old testament,1 samuel,book,bibel samuel 1 bible o t samuel 1st criticism interpretation etc bible samuel 1st criticism interpretation etc 1 samuel
sustainable urban communities,10 3 brown 2012,article,world politics politique mondiale 1989 pe riodiques world politics 1989 periodicals 10 3 brown 2012
middle east politics and security,10 conceptual sins in analyzing middle east politics,article,monash university newspapers digital humanities 1321 862x 10 conceptual sins in analyzing middle east politics
mental health practice,10 principles of leading change management,article,sports administration sports management australian 10 principles of leading change management
rethinking strategic value of markets and consumers,10 ways to create shareholder value,article,general interest news opinion and commentary 10 ways to create shareholder value
storytelling,101 healing stories using metaphors in therapy,book,psychotherapy narrative therapy storytelling therapeutic use 101 healing stories using metaphors in therapy
making of the modern world,14 18 understanding the great war,book,world war 1914 1918 bereavement europe history 20th century world war 1914 1918 france psychological aspects 14 18 understanding the great war
money market dealing,16 070mr former hanlong managing director sentenced to more than 8 years jail for insider trading,article,16 070mr former hanlong managing director sentenced to more than 8 years jail for insider trading
japanese language acquisition and use,1993 conference of industry economics 5 6 july 1993 the university of sydney,book,australia industries congresses industries industries congresses 1993 conference of industry economics 5 6 july 1993 the university of sydney
conservation medicine,1997 wildlife symposium,book,veterinary medicine congresses animal health congresses captive wild animals congresses 1997 wildlife symposium
sustainable urban water systems,1st national hydropolis conference 2006 burswood convention centre perth western australia,book,1st national hydropolis conference 2006 burswood convention centre perth western australia
work and well being,20 years of workplace bullying research a review of the antecedents and consequences of bullying in the workplace,article,workplace bullying legal remedies checked by library 20 years of workplace bullying research a review of the antecedents and consequences of bullying in the workplace
it professional practice,2001 corporate profile,book,patents australia information services industrial property australia industrial property 2001 corporate profile
global perspectives in music,2004 sims conference at the victorian college of the arts university of melbourne,journal,office for learning and teaching socioeconomic status effectiveness 2004 sims conference at the victorian college of the arts university of melbourne
governing inequality foundations of social welfare provision,2013 14 budget priority statement recommendations for the 2013 14 federal budget,book,australian council of social service nongovernment welfare sector tax rates and margins 2013 14 budget priority statement recommendations for the 2013 14 federal budget
energy management,2013 ashrae handbook fundamentals,book,refrigeration and refrigerating machinery handbooks manuals etc ventilation handbooks manuals etc air conditioning handbooks manuals etc 2013 ashrae handbook fundamentals
intraoperative assisting and nursing care,2014 2015 acorn standards for perioperative nursing including nursing roles guidelines position statements,book,perioperative nursing standards australia operating room nursing standards australia 2014 2015 acorn standards for perioperative nursing including nursing roles guidelines position statements
authorship and writing,20th century literary criticism a reader,book,literature history and criticism criticism literature 20th century literary criticism a reader
ideas and ideals in politics,21st century dissent anarchism anti globalization and environmentalism,book,environmentalism dissenters anarchism 21st century dissent anarchism anti globalization and environmentalism
health and society,21st century sociology a reference handbook,book,sociology social science sociology general social science anthropology general 21st century sociology a reference handbook
advanced molecular biology modern concepts and applications,21st century tv dramas exploring the new golden age,book,television series 21st century history and criticism performing arts reference television programs history 21st century 21st century tv dramas exploring the new golden age
mathematics and numeracy in the early years,24th annual conference of the mathematics education research group of australasia 30 june 4 july 2001 university of sydney n s w,journal,melbourne niue poto 24th annual conference of the mathematics education research group of australasia 30 june 4 july 2001 university of sydney n s w
writing from the edge,26 bars a collaboration,book,26 bars a collaboration
mathematics and numeracy in the early years,26th annual conference of the mathematics education research group 6 10 july 2003 deakin university geelong,journal,vwwg vws engagement 26th annual conference of the mathematics education research group 6 10 july 2003 deakin university geelong
inclusive education,2e twice exceptional newsletter,journal,2e twice exceptional newsletter
sustainable urban water systems,2nd iwa leading edge conference on sustainability,book,water supply management congresses sustainable development congresses water resources development environmental aspects congresses 2nd iwa leading edge conference on sustainability
sustainable urban communities,3 1 davis 2004,article,feminism periodicals women periodicals davis women s center periodicals 3 1 davis 2004
